[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0.040000000000000036), (0, 0.15000000000000002), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.05900000000000005, 0), (0, 0), (0.04600000000000004, 0), (0, 0.41200000000000003), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0.04500000000000004), (0, 0), (0.5, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.03300000000000003, 0), (0, 0), (0, 0), (0, 0), (0.050000000000000044, 0.236), (0.03400000000000003, 0), (0.052000000000000046, 0), (0, 0.03700000000000003)]
[(0, 0.07999999999999996), (0.06399999999999995, 0.17100000000000004), (0, 0), (0, 0.06899999999999995), (0, 0), (0.04200000000000004, 0), (0, 0.11699999999999999), (1.0, 1.0)]
[(0, 0), (0, 0), (0, 0), (0, 0.09399999999999997), (0.03600000000000003, 0), (0, 0.127), (0, 0), (0.04300000000000004, 0.038000000000000034)]
[(0, 0), (0, 0), (0, 0), (0.05300000000000005, 0), (0, 0), (0, 0), (0, 0), (0, 0.038000000000000034)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0.038000000000000034)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.16500000000000004, 0), (0, 0), (0, 0), (0.07799999999999996, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0.43100000000000005), (0, 0), (0.05500000000000005, 0.10499999999999998), (0.19399999999999995, 0), (0.09099999999999997, 0), (0, 0), (0, 0.256)]
[(0, 0), (0.06899999999999995, 0.18999999999999995), (0, 0.05400000000000005), (0, 0), (0, 0.32699999999999996), (0, 0.245), (0, 0.16500000000000004)]
[(0, 0), (0, 0), (0.08599999999999997, 0.22199999999999998), (0, 0), (0, 0), (0, 0), (0.235, 0.367)]
[(0.15400000000000003, 0.241), (0, 0.471), (0, 0), (0, 0), (0, 0), (0.13, 0), (0, 0)]
[(0, 0), (0.20399999999999996, 0.364), (0.05400000000000005, 0), (0, 0), (0, 0), (0.16300000000000003, 0.45199999999999996)]
[(0.16900000000000004, 0), (0, 0.275), (0, 0), (0, 0.20799999999999996), (0, 0), (0.07999999999999996, 0.33299999999999996)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0.43100000000000005), (0, 0), (0.05500000000000005, 0.10499999999999998), (0.19399999999999995, 0), (0.09099999999999997, 0), (0, 0), (0.119, 0.29700000000000004)]
[(0, 0), (0.06899999999999995, 0.18999999999999995), (0, 0.05400000000000005), (0, 0), (0.10699999999999998, 0), (0.09499999999999997, 0), (0, 0.17400000000000004)]
[(0.038000000000000034, 0), (0.10299999999999998, 0), (0, 0), (0, 0), (0.01100000000000001, 0.31999999999999995), (0.05600000000000005, 0.19499999999999995), (1.0, 1.0)]
[(0, 0.16700000000000004), (0, 0), (0, 0.22399999999999998), (0, 0.22399999999999998), (0, 0), (0, 0.10099999999999998)]
[(0, 0), (0.026000000000000023, 0.19599999999999995), (0, 0), (0.07499999999999996, 0.07799999999999996), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0.19299999999999995), (0, 0.17300000000000004), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0.05900000000000005, 0), (0, 0), (0, 0)]
[(0.10799999999999998, 0), (0, 0), (0.031000000000000028, 0), (0, 0.17200000000000004), (0, 0.08099999999999996), (0, 0.135), (0.009000000000000008, 0.051000000000000045)]
[(0, 0.132), (0.09199999999999997, 0.257), (0.04500000000000004, 0), (0, 0), (0.05600000000000005, 0.23399999999999999), (0, 0), (0, 0)]
[(0, 0.16400000000000003), (0.05500000000000005, 0), (0, 0), (0, 0), (0, 0), (0.040000000000000036, 0.09999999999999998), (1.0, 1.0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0.03600000000000003, 0), (0, 0)]
[(0, 0), (0, 0.09299999999999997), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0.031000000000000028, 0), (0, 0.14300000000000002), (0.11099999999999999, 0), (0.062000000000000055, 0.16700000000000004), (0.03200000000000003, 0.404)]
