[450.0, 300.0, 300.0]
[1050.0, 525.0, 350.0, 400.0]
[600.0, 400.0, 420.0]
[1350.0, 675.0, 450.0, 500.0]
[450.0, 300.0, 300.0]
[525.0, 350.0, 320.0]
[600.0, 400.0, 400.0]
[1350.0, 675.0, 450.0, 450.0]
[450.0, 300.0, 250.0]
[350.0, 300.0]
[1200.0, 600.0, 400.0, 360.0]
[1350.0, 675.0, 450.0, 400.0]
[450.0, 300.0, 300.0]
[525.0, 350.0, 350.0]
[400.0, 420.0]
[450.0, 410.0]
[900.0, 450.0, 300.0, 350.0]
[350.0, 360.0]
[1200.0, 600.0, 400.0, 400.0]
[675.0, 450.0, 450.0]
[900.0, 450.0, 300.0, 300.0]
[1050.0, 525.0, 350.0, 300.0]
[600.0, 400.0, 350.0]
[1350.0, 675.0, 450.0, 450.0]
[900.0, 450.0, 300.0, 280.0]
[1050.0, 525.0, 350.0, 300.0]
[600.0, 400.0, 400.0]
[450.0, 450.0]
[300.0, 300.0]
[525.0, 350.0, 400.0]
[600.0, 400.0, 450.0]
[675.0, 450.0, 450.0]
[900.0, 450.0, 300.0, 300.0]
[1050.0, 525.0, 350.0, 370.0]
[1200.0, 600.0, 400.0, 400.0]
[675.0, 450.0, 480.0]
[450.0, 300.0, 260.0]
[525.0, 350.0, 370.0]
[600.0, 400.0, 400.0]
[675.0, 450.0, 450.0]
