[300.0, 350.0]
[350.0, 350.0]
[400.0, 380.0]
[450.0, 400.0]
[300.0, 250.0]
[350.0, 380.0]
[400.0, 420.0]
[450.0, 500.0]
[300.0, 300.0]
[525.0, 350.0, 400.0]
[400.0, 440.0]
[450.0, 500.0]
[300.0, 350.0]
[350.0, 390.0]
[600.0, 400.0, 400.0]
[675.0, 450.0, 450.0]
[300.0, 250.0]
[525.0, 350.0, 350.0]
[400.0, 350.0]
[450.0, 400.0]
[300.0, 350.0]
[350.0, 350.0]
[400.0, 400.0]
[450.0, 400.0]
[300.0, 300.0]
[350.0, 400.0]
[400.0, 420.0]
[1350.0, 675.0, 450.0, 500.0]
[900.0, 450.0, 300.0, 260.0]
[350.0, 300.0]
[400.0, 350.0]
[450.0, 490.0]
[300.0, 350.0]
[350.0, 330.0]
[400.0, 420.0]
[450.0, 420.0]
[300.0, 340.0]
[350.0, 350.0]
[400.0, 350.0]
[450.0, 400.0]
