0.606,0.571,0.5,0.643,0.667,0.7,0.815,0.696,0.593,0.696,0.64,0.72,0.667,0.667,0.571,0.56,0.72,0.6,0.667,0.741,0.6,0.69,0.6,0.583,0.688,0.556,0.444,0.545,0.462,0.636,0.5,0.872,0.476,0.786,0.667,0.421,0.632,0.571,0.615,0.692,0.6,0.667,0.625,0.583,0.455,0.5,0.667,0.519,0.417,0.435,0.455,0.455,0.444,0.743,0.556,0.667,0.444,0.833,0.71,0.615
0.606,0.636,0.5,0.552,0.667,0.7,0.815,0.696,0.593,0.783,0.64,0.72,0.667,0.774,0.741,0.667,0.72,0.786,0.667,0.839,0.815,0.786,0.75,0.692,0.688,0.667,0.643,0.667,0.593,0.769,0.552,0.872,0.743,0.815,0.8,0.72,0.897,0.64,0.615,0.848,0.6,0.593,0.562,0.703,0.64,0.72,0.667,0.6,0.552,0.435,0.769,0.667,0.733,0.743,0.8,0.667,0.688,0.833
0.606,0.636,0.64,0.6,0.812,0.7,0.815,0.696,0.593,0.783,0.696,0.72,0.667,0.774,0.741,0.733,0.72,0.786,0.8,0.839,0.815,0.786,0.75,0.667,0.688,0.769,0.703,0.759,0.741,0.769,0.667,0.872,0.743,0.774,0.857,0.914,0.897,0.643,0.759,0.857,0.833,0.857,0.562,0.765,0.788,0.788,0.625,0.743,0.625,0.621,0.769,0.733
0.727,0.733,0.64,0.667,0.812,0.8,0.815,0.696,0.714,0.867,0.696,0.72,0.714,0.774,0.741,0.733,0.72,0.786,0.846,0.839,0.815,0.786,0.905,0.667,0.875,0.769,0.703,0.833,0.741,0.778,0.737,0.872,0.743,0.828,0.857,0.914,0.897,0.75,0.8,0.857,0.833,0.933,0.774,0.765,0.788,0.9,0.842,0.85,0.756,0.737,0.769,0.878,0.774,0.743,0.8
0.606,0.571,0.5,0.56,0.571,0.7,0.815,0.696,0.593,0.696,0.64,0.667,0.667,0.667,0.571,0.56,0.72,0.6,0.667,0.741,0.6,0.786,0.6,0.583,0.688,0.556,0.444,0.545,0.462,0.444,0.5,0.833,0.71,0.786,0.667,0.421,0.897,0.571,0.615,0.812,0.6,0.593,0.625,0.583,0.455,0.5,0.667,0.519,0.417,0.435,0.455,0.455,0.444,0.5,0.545,0.667,0.688,0.833,0.71,0.615
0.606,0.636,0.5,0.6,0.667,0.7,0.815,0.696,0.593,0.783,0.64,0.72,0.667,0.774,0.741,0.667,0.72,0.786,0.667,0.848,0.815,0.786,0.6,0.692,0.688,0.667,0.643,0.69,0.593,0.769,0.552,0.872,0.743,0.815,0.857,0.757,0.897,0.64,0.615,0.812,0.6,0.593,0.562,0.703,0.64,0.72,0.667,0.6,0.625,0.435,0.71,0.667,0.733,0.743,0.8,0.667,0.688,0.833,0.6,0.606
0.606,0.636,0.64,0.6,0.812,0.8,0.815,0.696,0.593,0.783,0.64,0.72,0.667,0.774,0.741,0.733,0.72,0.786,0.8,0.839,0.815,0.786,0.75,0.667,0.688,0.769,0.703,0.759,0.741,0.769,0.667,0.872,0.743,0.774,0.857,0.914,0.897,0.75,0.759,0.848,0.833,0.857,0.562,0.765,0.788,0.788,0.625,0.743,0.625,0.621,0.769,0.733,0.733,0.743,0.8,0.667,0.688,0.833,0.778,0.595
0.727,0.733,0.64,0.6,0.812,0.8,0.815,0.696,0.714,0.867,0.696,0.72,0.714,0.774,0.741,0.733,0.72,0.786,0.846,0.839,0.815,0.786,0.905,0.667,0.875,0.769,0.703,0.581,0.741,0.778,0.737,0.872,0.743,0.828,0.857,0.914,0.897,0.75,0.8,0.857,0.833,0.933,0.774,0.765,0.788,0.9,0.842,0.85,0.756,0.737,0.769,0.878,0.774,0.743,0.8,0.783,0.81,0.833,0.8,0.595
0.606,0.571,0.5,0.476,0.571,0.7,0.815,0.696,0.593,0.783,0.64,0.667,0.667,0.774,0.571,0.56,0.72,0.6,0.667,0.741,0.741,0.471,0.6,0.692,0.688,0.556,0.444,0.75,0.462,0.444,0.5,0.833,0.71,0.815,0.733,0.421,0.632,0.545,0.615,0.692,0.6,0.667,0.455,0.645,0.455,0.5,0.667,0.519,0.417,0.435,0.455,0.455,0.444,0.5,0.545,0.667,0.688,0.833,0.71,0.615
0.606,0.636,0.5,0.552,0.667,0.7,0.815,0.696,0.593,0.783,0.64,0.72,0.667,0.774,0.741,0.667,0.72,0.786,0.8,0.741,0.815,0.786,0.6,0.692,0.688,0.667,0.643,0.667,0.593,0.769,0.621,0.872,0.743,0.815,0.727,0.757,0.897,0.64,0.615,0.848,0.6,0.812,0.562,0.765,0.64,0.72,0.667,0.6,0.552,0.435,0.769,0.667,0.733,0.743,0.8,0.667,0.688,0.833,0.6,0.606
0.606,0.636,0.64,0.6,0.812,0.8,0.815,0.696,0.593,0.783,0.64,0.72,0.667,0.774,0.741,0.733,0.72,0.786,0.8,0.839,0.815,0.786,0.75,0.667,0.875,0.769,0.703,0.759,0.741,0.769,0.667,0.872,0.743,0.828,0.857,0.914,0.897,0.643,0.759,0.848,0.833,0.857,0.562,0.765,0.788,0.788,0.625,0.743,0.625,0.621,0.769,0.733,0.733,0.743,0.8,0.667,0.81,0.833,0.778,0.595
0.727,0.733,0.64,0.6,0.812,0.8,0.815,0.696,0.714,0.867,0.696,0.72,0.714,0.774,0.741,0.733,0.72,0.786,0.846,0.839,0.815,0.821,0.905,0.667,0.875,0.769,0.703,0.581,0.741,0.8,0.737,0.872,0.743,0.828,0.857,0.914,0.897,0.75,0.8,0.857,0.833,0.933,0.774,0.765,0.788,0.9,0.842,0.85,0.756,0.737,0.769,0.878,0.774,0.743,0.8,0.783,0.81,0.833,0.8,0.595
0.5,0.222,0.286,0.222,0.4,0.333,0.182,0.167,0.308,0.4,0.5,0.286,0.286,0.286,0.615,0.286,0.571,0.571,0.667,0.571,0.222,0.2,0.2,0.667,0.444,0.25,0.286,0.4,0.333,0.5,0.444,0.25,0.286,0.286,0.286,0.5,0.286,0.286,0.286,0.4,0.5,0.571,0.286,0.4,0.364,0.286,0.286,0.25,0.286,0.286,0.667,0.333,0.4,0.667,0.5,0.727,0.0
