uav-1 - 900.0
uav-1 - 1575.0
uav-1 - 1800.0
uav-1 - 1350.0
timesquare - 1350.0
timesquare - 1050.0
timesquare - 1200.0
timesquare - 4050.0
jakarta-uav - 1350.0
jakarta-uav - 1050.0
jakarta-uav - 1800.0
jakarta-uav - 2025.0
coldwater - 1350.0
coldwater - 1575.0
coldwater - 1800.0
coldwater - 2025.0
jakarta - 1350.0
jakarta - 1575.0
jakarta - 1800.0
jakarta - 4050.0
india - 1350.0
india - 1575.0
india - 1200.0
india - 2025.0
miami - 2700.0
miami - 3150.0
miami - 1800.0
miami - 1350.0
miami - 1350.0
miami - 3150.0
miami - 1800.0
miami - 2025.0
miami - 1350.0
miami - 1050.0
miami - 1800.0
miami - 1350.0
jakarta - 2700.0
jakarta - 1575.0
jakarta - 1800.0
jakarta - 4050.0
