[0, 7, 14, 21, 28, 35, 41, 47, 53, 59, 66]
[0, 7, 13, 20, 27, 33, 39, 45, 51, 57, 63, 69]
[0, 6, 13, 19, 26, 32, 37, 43, 49, 55, 61, 68]
[0, 6, 14, 21, 28, 34, 41, 47, 53, 59, 65]
[0, 8, 16, 23, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 14, 21, 28, 34, 40, 46, 52, 58, 64]
[0, 6, 13, 20, 27, 33, 39, 45, 51, 57, 63, 69]
[0, 6, 13, 20, 27, 33, 39, 45, 50, 56, 61, 67]
[0, 8, 16, 24, 32, 40, 47, 55, 63]
[0, 7, 13, 21, 28, 35, 41, 48, 55, 62, 69]
[0, 7, 14, 22, 29, 36, 43, 49, 55, 62]
[0, 6, 13, 20, 27, 33, 39, 45, 51, 57, 63, 69]
[0, 7, 12, 16, 20, 25, 30, 35, 39, 44, 50, 56]
[0, 6, 12, 18, 25, 31, 37, 43, 49, 55, 61, 67]
[0, 7, 14, 21, 28, 34, 39, 45, 52, 59, 66]
[0, 7, 12, 15, 19, 24, 29, 34, 38, 42, 46, 52]
[0, 7, 12, 16, 20, 25, 30, 35, 40, 45, 52, 58]
[0, 7, 12, 16, 20, 26, 31, 35, 39, 44, 50, 56]
[0, 6, 13, 19, 26, 33, 39, 45, 51, 58, 65]
[0, 8, 16, 24, 29, 33, 37, 41, 45, 49, 52, 55]
[0, 7, 15, 23, 29, 33, 37, 42, 47, 51, 54, 57, 61]
[0, 7, 15, 23, 29, 33, 37, 41, 46, 50, 53, 56]
[0, 6, 12, 19, 26, 32, 38, 44, 50, 56, 62, 68]
[0, 7, 13, 20, 27, 33, 39, 45, 51, 57, 63, 69]
[0, 6, 12, 18, 25, 31, 37, 43, 49, 55, 61, 67]
[0, 6, 13, 20, 27, 33, 39, 45, 51, 57, 63]
[0, 7, 15, 21, 29, 36, 43, 49, 56, 63]
[0, 7, 14, 21, 28, 34, 40, 46, 52, 58, 64]
[0, 6, 13, 19, 26, 33, 39, 45, 51, 57, 63, 69]
[0, 8, 16, 24, 32, 39, 47, 55, 62]
[0, 6, 13, 20, 27, 33, 39, 45, 51, 57, 63]
[0, 7, 15, 21, 27, 33, 39, 47, 55, 62]
[0, 6, 14, 21, 28, 35, 41, 47, 53, 59, 65]
[0, 7, 12, 15, 19, 24, 30, 35, 40, 45, 52, 58]
[0, 7, 12, 16, 20, 26, 31, 35, 39, 44, 50, 56]
[0, 6, 12, 18, 25, 32, 39, 45, 51, 57, 64]
[0, 7, 13, 19, 26, 32, 38, 44, 50, 57, 64]
[0, 7, 12, 16, 20, 26, 30, 34, 38, 42, 45, 51]
[0, 7, 12, 16, 20, 25, 30, 35, 40, 45, 52, 58]
[0, 7, 12, 15, 19, 24, 29, 34, 38, 43, 48, 54]
[0, 7, 14, 21, 28, 34, 40, 46, 52, 58, 65]
[0, 7, 15, 23, 30, 35, 41, 47, 52, 56, 61, 65]
[0, 8, 15, 23, 29, 33, 37, 42, 47, 51, 54, 57]
[0, 8, 16, 24, 30, 36, 42, 48, 53, 58, 63, 67]
[0, 7, 15, 22, 30, 35, 41, 46, 50, 54, 58, 62]
[0, 7, 13, 20, 27, 33, 39, 45, 51, 57, 63]
[0, 7, 13, 19, 25, 31, 37, 43, 48, 54, 60, 66]
[0, 6, 13, 21, 28, 35, 42, 48, 54, 60, 66]
[0, 8, 16, 23, 30, 36, 42, 48, 54, 60, 66]
[0, 7, 14, 21, 28, 35, 42, 49, 56, 63]
[0, 6, 13, 20, 27, 33, 39, 45, 51, 56, 62]
[0, 6, 13, 20, 26, 32, 38, 44, 50, 55, 61, 67]
[0, 8, 16, 24, 31, 37, 43, 49, 55, 62]
[0, 6, 14, 21, 28, 35, 42, 49, 55, 61, 68]
[0, 7, 14, 20, 27, 33, 39, 45, 51, 57, 63]
[0, 6, 13, 20, 27, 34, 41, 48, 54, 60, 66]
[0, 7, 12, 16, 20, 26, 31, 35, 39, 44, 50, 56]
[0, 7, 12, 16, 20, 26, 32, 36, 40, 45, 52]
[0, 6, 12, 19, 26, 32, 39, 45, 51, 57, 63]
[0, 7, 12, 16, 20, 26, 30, 34, 38, 42, 45, 51, 56]
[0, 7, 12, 16, 20, 26, 31, 35, 39, 43, 48, 54]
[0, 7, 12, 16, 19, 25, 30, 35, 39, 44, 50, 56]
[0, 7, 14, 23, 29, 33, 37, 41, 46, 50, 53, 56]
[0, 7, 15, 24, 29, 33, 37, 42, 46, 50, 53, 56]
[0, 7, 14, 21, 29, 35, 42, 48, 53, 58, 63, 67]
[0, 7, 15, 24, 30, 36, 42, 48, 53, 58, 63, 67]
