[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 80]
[10, 20, 35, 50, 65, 75]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[15, 30, 45, 60, 75, 90]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 30, 45, 60, 75, 90]
[10, 30, 45, 60, 75, 90]
[10, 30, 50, 65, 85]
[10, 30, 50, 65, 85]
[10, 30, 50, 65, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 80]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[15, 30, 45, 60, 75, 90]
