[(0, 0), (0, 0), (0.11099999999999999, 0.30600000000000005), (0, 0), (0, 0), (0, 0)]
[(0, 0.30800000000000005), (0.123, 0.44599999999999995), (0.08599999999999997, 0), (0.10099999999999998, 0.361), (0, 0.375), (0, 0.31299999999999994)]
[(0, 0.32599999999999996), (0, 0.28400000000000003), (0, 0), (0, 0.45199999999999996), (0.21999999999999997, 0), (0.16700000000000004, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0.45199999999999996), (0.10099999999999998, 0), (0.17200000000000004, 0)]
[(0, 0), (0.10299999999999998, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0.19999999999999996), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.15900000000000003, 0.258), (0.049000000000000044, 0.30200000000000005), (0, 0), (0, 0), (0.06999999999999995, 0.273), (0, 0.28400000000000003)]
[(0, 0.22899999999999998), (0.04200000000000004, 0.17600000000000005), (0, 0), (0, 0.243), (0.062000000000000055, 0.18400000000000005), (0, 0)]
[(0, 0), (0.04800000000000004, 0), (0.06399999999999995, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0.119), (0, 0.10899999999999999), (0, 0.21199999999999997), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.15900000000000003, 0.258), (0.049000000000000044, 0.30200000000000005), (0, 0), (0, 0), (0.06999999999999995, 0.273), (0, 0.28400000000000003)]
[(0, 0.22899999999999998), (0.04600000000000004, 0), (0, 0.30500000000000005), (0, 0.243), (0.062000000000000055, 0.31200000000000006), (0, 0)]
[(0, 0), (0.04800000000000004, 0), (0.06399999999999995, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0.10899999999999999), (0, 0.21199999999999997), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.02400000000000002, 0), (0, 0.09399999999999997), (0.03600000000000003, 0), (0, 0.10299999999999998), (0, 0), (0, 0.11499999999999999)]
